System Time,Nox
2018-03-06 14:26:32.468370,181
2018-03-06 14:27:36.478383,133
2018-03-06 14:29:44.191285,99
2018-03-06 14:35:05.284544,55
2018-03-06 14:32:58.597262,62
2018-03-06 14:41:31.498281,52
2018-03-06 14:54:26.612634,44
2018-03-06 14:28:40.581219,111
2018-03-06 14:56:35.240625,43
2018-03-06 15:14:42.587281,36
2018-03-06 15:31:47.801913,35
2018-03-06 15:36:08.698352,31
2018-03-06 15:35:05.910136,35
2018-03-06 15:37:08.200502,26
2018-03-06 15:41:28.204147,19
2018-03-06 16:11:28.502275,26
2018-03-06 16:14:40.930494,26
2018-03-06 16:16:52.677371,26
2018-03-06 16:10:24.556440,26
2018-03-06 16:22:16.446636,25
2018-03-06 16:29:47.455825,26
2018-03-06 16:40:32.872644,25
2018-03-07 06:14:56.140766,52
2018-03-07 06:15:20.040495,46
2018-03-07 06:21:47.682973,37
2018-03-07 06:23:54.184413,36
2018-03-07 13:09:08.839381,54
2018-03-07 13:10:13.763654,52
2018-03-07 13:13:26.400876,51
2018-03-07 13:12:21.377042,54
2018-03-07 13:31:45.880816,62
2018-03-07 13:38:12.296993,60
2018-03-07 13:43:35.086489,62
2018-03-07 13:44:38.891063,58
2018-03-07 13:54:17.139390,57
2018-03-07 14:02:54.595409,55
2018-03-07 14:10:25.082575,47
2018-03-07 14:07:10.237744,49
2018-03-07 17:48:37.553941,34
2018-03-07 17:48:40.619595,30
2018-03-07 17:54:02.738169,54
2018-03-07 17:55:06.525483,57
2018-03-07 18:01:29.268045,24
2018-03-07 18:00:27.634853,57
2018-03-07 17:56:09.379893,83
2018-03-07 18:04:44.023776,25
2018-03-07 18:06:48.706317,28
2018-03-07 18:19:42.044474,42
2018-03-07 18:22:56.464364,42
2018-03-07 18:36:50.805320,43
2018-03-07 18:53:00.464761,43
2018-03-07 18:33:41.461670,42
2018-03-07 19:10:02.495761,72
2018-03-07 21:20:32.984036,60
2018-03-07 21:24:49.611221,21
2018-03-07 21:26:55.440373,22
2018-03-07 21:23:45.141651,24
2018-03-07 21:28:01.133500,22
2018-03-07 21:29:05.002306,23
2018-03-07 21:44:06.963732,36
2018-03-07 21:53:49.162750,38
2018-03-07 21:59:14.099951,38
2018-03-07 22:11:03.412557,38
2018-03-07 22:13:11.649280,37
2018-03-07 22:14:16.909172,37
2018-03-08 14:05:29.878606,60
2018-03-08 14:06:33.807314,25
2018-03-08 14:08:41.508224,22
2018-03-08 14:11:48.897893,23
2018-03-08 14:16:11.326234,23
2018-03-08 14:15:06.563027,24
2018-03-08 14:18:18.550492,21
2018-03-08 14:17:14.598789,22
2018-03-08 14:12:59.183011,24
2018-03-08 14:21:30.696462,23
2018-03-08 14:22:26.690856,23
2018-03-08 14:25:46.454153,46
2018-03-08 14:34:16.774342,31
2018-03-08 14:46:05.119167,70
2018-03-08 14:47:05.283557,29
2018-03-08 14:49:16.606029,49
2018-03-08 14:52:28.470121,19
2018-03-08 14:54:34.374149,38
2018-03-08 14:56:47.500552,33
2018-03-08 14:57:49.516977,18
2018-03-08 15:04:16.896753,18
2018-03-08 15:01:02.856434,18
2018-03-08 15:17:04.888097,67
2018-03-08 15:19:12.682629,23
2018-03-08 15:21:21.572744,43
2018-03-08 15:22:25.314855,19
2018-03-08 15:24:33.795974,18
2018-03-08 15:28:49.754515,19
2018-03-08 15:30:56.719095,50
2018-03-08 15:23:28.453547,17
2018-03-08 15:36:17.499047,17
2018-03-08 15:37:22.528148,17
2018-03-08 16:08:22.346578,42
2018-03-08 16:11:34.779919,41
2018-03-08 16:17:58.140644,42
2018-03-08 16:21:10.502710,40
2018-03-08 16:23:21.655015,79
2018-03-08 16:24:23.113231,29
2018-03-08 16:22:17.430599,40
2018-03-08 16:25:29.645528,28
2018-03-08 16:26:34.865847,24
2018-03-08 16:29:45.129367,20
2018-03-08 16:28:41.743372,21
2018-03-08 16:32:58.044974,52
2018-03-08 16:34:01.220451,21
2018-03-08 16:37:15.837750,20
2018-03-08 16:35:06.166420,18
2018-03-08 16:48:00.193850,25
2018-03-08 16:44:45.818001,24
2018-03-08 16:50:08.345530,26
2018-03-08 16:54:26.735981,26
2018-03-08 16:57:39.838919,28
2018-03-08 16:53:18.549811,25
2018-03-08 17:01:56.556913,28
2018-03-08 17:06:12.065620,28
2018-03-08 17:05:08.760158,28
2018-03-08 17:14:44.993326,27
2018-03-08 17:13:41.952188,27
2018-03-08 17:15:49.601247,25
2018-03-08 17:12:38.358599,28
2018-03-08 17:20:08.719432,25
2018-03-08 17:19:04.153622,25
2018-03-08 17:25:31.254073,24
2018-03-08 17:26:34.773585,24
2018-03-08 17:27:39.393392,24
2018-03-08 17:30:53.301871,24
2018-03-08 17:34:05.454376,23
2018-03-08 17:37:25.925721,39
2018-03-08 17:53:04.918007,15
2018-03-08 17:54:07.306561,12
2018-03-08 17:55:10.858478,31
2018-03-08 17:58:22.784612,20
2018-03-08 18:10:01.271806,12
2018-03-08 18:11:09.291869,12
2018-03-08 18:14:21.777203,37
2018-03-08 18:12:11.254047,12
2018-03-08 18:15:24.615774,32
2018-03-08 18:16:28.729779,19
2018-03-08 18:06:54.451999,11
2018-03-08 18:18:33.763713,25
2018-03-08 18:19:38.131948,15
2018-03-08 18:46:20.093144,20
2018-03-08 18:58:09.603533,21
2018-03-08 19:00:18.785369,21
2018-03-08 19:08:51.663855,21
2018-03-08 19:13:09.053036,21
2018-03-08 19:57:54.854887,15
2018-03-08 19:59:00.152943,27
2018-03-08 19:16:21.871429,22
2018-03-08 19:21:14.824036,37
2018-03-08 20:01:07.563157,30
2018-03-08 20:04:16.597381,17
2018-03-08 20:06:26.797804,15
2018-03-08 20:00:04.402871,22
